country,region,govSeat2016,govSeat2017,govSeats2018,GDP2016,GDP2017,GDP2018,GDPperCap2016,GDPperCap2017,GDPperCap2018,govEduExp2016,govEduExp2017,govEduExp2018
St. Lucia,Latin America & Caribbean,16.7,16.7,16.7,1688244703.7037,1810139888.88889,1876189777.77778,9377.88685788397,10003.2598650984,10315.0260751215,5.71023988723755,..,..
St. Martin (French part),Latin America & Caribbean,..,..,..,..,..,..,..,..,..,..,..,..
St. Vincent and the Grenadines,Latin America & Caribbean,13,13,13,770762204.076066,785222509.144563,813093984.074074,7041.56080428349,7149.63086622199,7377.67883199414,5.79986000061035,5.75045013427734,..
Sub-Saharan Africa,,23.4964158899245,24.2287003411467,24.0045095457538,1545226165544.37,1679162216563.35,1697193308364.39,1511.18440801857,1598.96809517926,1573.94328689062,4.00177001953125,..,..
Sub-Saharan Africa (excluding high income),,23.5048557745851,24.2397393417274,24.0147010241163,1543798794170.86,1677659255398.8,1695603277168.42,1509.92828816108,1597.68272667085,1572.60984199739,4.00177001953125,..,..
Sub-Saharan Africa (IDA & IBRD),,23.4964158899245,24.2287003411467,24.0045095457538,1545226165544.37,1679162216563.35,1697193308364.39,1511.18440801857,1598.96809517926,1573.94328689062,4.00177001953125,..,..
Sudan,Sub-Saharan Africa,30.5,30.5,30.5,95558220776.921,123053386001.137,40851536133.7642,2398.10187999332,3015.02442975186,977.273635724417,..,..,..
Suriname,Latin America & Caribbean,25.5,25.5,25.5,3167164370.80564,3068766109.75333,3427269681.74204,5606.71207532403,5379.11941495353,5950.21394733953,..,..,..
Sweden,Europe & Central Asia,43.6,43.6,46.1,512205240408.433,535607385506.432,551031682226.344,51617.5403524643,53253.4766411192,54111.9721723671,..,..,..
Zimbabwe,Sub-Saharan Africa,31.5,32.6,31.5,20548678100,22813010116.1292,31000519447.175,1464.58352903946,1602.40350699048,2146.99638487707,..,..,..
Zambia,Sub-Saharan Africa,18,18,18,20954754378.1394,25868142076.7897,26720073435.9014,1280.57844679257,1534.86537052245,1539.90015779907,..,..,..
"Yemen, Rep.",Middle East & North Africa,0,0,0,30968242967.7823,26818703092.5852,26914402223.7828,1139.87056813026,963.494720967854,944.408499373419,..,..,..
World,,23.0203347687891,23.6506251275771,23.9687042815489,76103531034285,80885580989211.6,85790820876816.1,10248.1111249672,10768.9633561707,11296.7825551582,..,..,..
West Bank and Gaza,Middle East & North Africa,..,..,..,13425700000,14498100000,14615900000,3074.29115236515,3254.48588658763,3198.86664447405,5.7177300453186,5.2523398399353,..
Virgin Islands (U.S.),Latin America & Caribbean,..,..,..,3863000000,3855000000,..,35931.5412519766,35938.0243875154,..,..,..,..
Vietnam,East Asia & Pacific,26.7,26.7,26.7,205276172134.901,223779865815.183,244948445308.883,2192.21453866566,2365.62166567374,2563.82073058085,..,..,..
"Venezuela, RB",Latin America & Caribbean,14.4,22.2,22.2,..,..,..,..,..,..,..,..,..
Vanuatu,East Asia & Pacific,0,0,0,787942567.411846,849708342.698412,887817896.301835,2830.96528369865,2976.1071160324,3033.40814644607,..,4.69537019729614,..
Uzbekistan,Europe & Central Asia,16,16,16,81779019095.6692,59159949231.4924,50499920318.2926,2567.79941835001,1826.56703999223,1532.37163919396,6.91097021102905,6.41335010528564,..
Uruguay,Latin America & Caribbean,16.2,20.2,20.2,52687612261.5424,56488991831.0239,59596885024.3487,15387.1440299446,16437.2448692778,17277.9701105496,..,..,..
United States,North America,19.4,19.4,19.6,18707188235000,19485393853000,20494099845390.2,57904.2019610641,59927.9298339535,62641.0140973573,..,..,..
United Kingdom,Europe & Central Asia,29.6,32,32.2,2659238931670.25,2637866340434.13,2825207947502.9,40539.9196069162,39932.0602923845,42491.3644350973,5.54179000854492,..,..
United Arab Emirates,Middle East & North Africa,22.5,22.5,22.5,357045064669.843,382575085091.899,414178897208.986,38141.8467585492,40325.3820005643,43004.9486462341,..,..,..
Ukraine,Europe & Central Asia,12,12.3,12.3,93355993628.5042,112190355158.178,130832374404.882,2187.73199668415,2640.67567655839,3095.17358053586,5.01436996459961,..,..
Uganda,Sub-Saharan Africa,33.5,34.3,34.3,24133664284.5089,25995031850.1545,27476945526.013,608.705735097409,631.522719792278,643.139670191672,2.55882000923157,2.64100003242493,..
Tuvalu,East Asia & Pacific,6.7,6.7,6.7,36547419.8730745,40620557.1335093,42587778.4724662,3255.89486619818,3572.60836706326,3700.71067713471,..,..,..
Turks and Caicos Islands,Latin America & Caribbean,..,..,..,950357510,962525840,1022312010,25995.1724609535,25933.6074363465,27142.2277976902,..,..,..
Turkmenistan,Europe & Central Asia,25.8,25.8,24.8,36180000000,37926285714.2857,40761142857.1429,6389.54840833488,6587.09031628698,6966.63541063077,..,..,..
Turkey,Europe & Central Asia,14.9,14.6,17.4,863721648068.806,851549231502.615,766509088837.579,10820.633842346,10499.7455731688,9311.36611728167,..,..,..
Tunisia,Middle East & North Africa,31.3,31.3,31.3,41808379888.2682,39952095560.8829,39860715814.4238,3698.56507526382,3494.31886448228,3446.60723792022,..,..,..
Trinidad and Tobago,Latin America & Caribbean,31,31,31,21746391333.0334,22250455018.8067,23410353434.6523,15786.1205236442,16076.0820382225,16843.701611713,..,..,..
Tonga,East Asia & Pacific,0,3.8,7.4,401109307.359307,430174168.740104,450353313.884584,3966.15652021899,4217.47650679527,4364.01556134949,..,..,..
Togo,Sub-Saharan Africa,17.6,17.6,17.6,4414908596.54217,4765866980.38429,5300214337.17579,587.874409389324,619.066370987019,671.840687558773,5.06326007843018,..,..
Timor-Leste,East Asia & Pacific,38.5,32.3,33.8,2503532102.2697,2487269437.36822,2581000000,2053.27379771613,2000.60119103569,2035.53390768881,..,..,..
Thailand,East Asia & Pacific,6.1,4.8,5.3,412352789519.611,455275517239.347,504992757704.997,5978.61145407809,6578.18886493522,7273.56320732092,..,..,..
Tanzania,Sub-Saharan Africa,36.6,36.4,37.2,49774021003.0747,53320625958.5628,57437073927.1796,966.474622354379,1004.84112066441,1050.67525379846,..,..,..
Tajikistan,Europe & Central Asia,19,19,19,6952678127.03396,7157865188.25222,7522947810.12326,802.518004052824,806.041573098044,826.621530538704,..,..,..
Syrian Arab Republic,Middle East & North Africa,13.2,13.2,13.2,..,..,..,..,..,..,..,..,..
Switzerland,Europe & Central Asia,32,32.5,32.5,670181065629.156,678965423322.021,705501304688.699,80037.5030399055,80333.4449447719,82838.9294445761,5.12430000305176,..,..
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: Gender Statistics,,,,,,,,,,,,,
Last Updated: 07/16/2019,,,,,,,,,,,,,
