country,region,govSeat2016,govSeat2017,govSeats2018,GDP2016,GDP2017,GDP2018,GDPperCap2016,GDPperCap2017,GDPperCap2018,govEduExp2016,govEduExp2017,govEduExp2018
IBRD only,,21.8007557749741,22.3673463195582,22.8353641667168,26007239891224.9,28632922079785.2,30464715328517.2,5547.9906360298,6052.03861067607,6383.67595205185,..,..,..
Iceland,Europe & Central Asia,47.6,47.6,38.1,20716024757.4057,24489493459.0074,25878475760.1131,61757.9493064483,71314.774196294,73191.1163154337,..,..,..
IDA & IBRD total,,21.3817079121645,21.9167422851799,22.144144175518,28049516210776.8,30781503584021.9,32669573236385.7,4483.51940392346,4858.92833931345,5094.65262563418,..,..,..
IDA blend,,18.7429118773946,19.1835029686175,19.1781090289608,949684642860.357,942180672601.184,991212192923.733,1787.14029237199,1733.46049894139,1783.29905551662,5.27239489555359,4.65269994735718,..
IDA only,,21.3135796255285,21.8190414507772,21.6791889117043,1099425202189.94,1216320828718.15,1221072552795.69,1060.14406372819,1147.04662371405,1126.02737880294,4.00885009765625,..,..
IDA total,,20.8219653179191,21.3176214297241,21.1933735936466,2053098161979.64,2157791845822.82,2213713643331.96,1308.99675157711,1345.32433324963,1349.6294318427,4.04160022735596,..,..
India,South Asia,12,11.8,11.8,2290432075123.75,2652551202555.27,2726322616821.31,1729.26802051544,1981.49904456819,2015.59048548675,..,..,..
Indonesia,East Asia & Pacific,17.1,19.8,19.8,931877364177.742,1015423455783.28,1042173300625.55,3562.84575641971,3836.91381389271,3893.59607757239,..,..,..
"Iran, Islamic Rep.",Middle East & North Africa,5.9,5.9,5.9,418976679728.567,454012768723.589,..,5265.90663458425,5627.74926845456,..,3.36576008796692,3.79040002822876,..
Iraq,Middle East & North Africa,26.5,25.3,25.5,170219966159.052,193158783783.784,225914183047.981,4649.46811513804,5143.66123200793,5878.03856646219,..,..,..
Ireland,Europe & Central Asia,22.2,22.2,22.2,302242900803.522,331430014003.047,375902683115.574,63558.6979263338,68941.8066532278,77449.7204939221,..,..,..
Isle of Man,Europe & Central Asia,..,..,..,6592627599.24386,..,..,79155.541672096,..,..,..,..,..
Israel,Middle East & North Africa,26.7,27.5,27.5,319377923613.703,353268411918.577,369690434708.801,37371.6269147791,40543.5841665702,41613.9979185485,..,..,..
Italy,Europe & Central Asia,31,31,35.7,1869201702185.17,1946570340341.13,2073901988878.23,30830.9226645832,32155.2058659338,34318.3511241724,..,..,..
"Gambia, The",Sub-Saharan Africa,9.4,10.3,10.3,1442298542.08538,1489464787.85603,1624464137.00149,671.105285458678,672.780534143022,712.452397744265,3.08512997627258,..,..
Jamaica,Latin America & Caribbean,17.5,17.5,17.5,14072135208.5664,14781107821.7513,15717858486.9424,4842.04501096139,5060.54492360667,5355.58263932713,5.31865978240967,5.26773023605347,..
Japan,East Asia & Pacific,9.5,9.3,10.1,4926667087367.51,4859950558538.97,4970915556638.88,38794.3309405515,38331.9793978104,39286.7376488008,3.46745991706848,..,..
Jordan,Middle East & North Africa,15.4,15.4,15.4,39252468265.1622,40765867418.8999,42290832157.969,4109.57481873331,4168.64160383499,4247.76872564413,3.89620995521545,3.59959006309509,..
Kazakhstan,Europe & Central Asia,27.1,27.1,27.1,137278320084.171,162886867831.694,170538870248.194,7714.84184376024,9030.31880602652,9331.04694986684,2.97810006141663,2.87849998474121,..
Kenya,Sub-Saharan Africa,19.7,21.8,21.8,69188755510.9427,78757391333.0088,87908262520.2133,1410.52757107967,1568.20154066387,1710.51009699983,5.36266994476318,5.23897981643677,..
Kiribati,East Asia & Pacific,6.5,6.5,6.5,178328873.030033,185572501.532802,188284518.828452,1584.80744578963,1625.575969558,1625.28610001512,..,..,..
"Korea, Dem. People's Rep.",East Asia & Pacific,16.3,16.3,16.3,..,..,..,..,..,..,..,..,..
"Korea, Rep.",East Asia & Pacific,17,17,17,1414804158515.26,1530750923148.7,1619423701169.63,27608.2474287116,29742.8388613471,31362.75147294,..,..,..
Kosovo,Europe & Central Asia,..,..,..,6714712389.38053,7227764976.79274,7900268735.55547,3697.12167678699,3948.08815032105,4281.29232946159,..,..,..
Kuwait,Middle East & North Africa,1.5,3.1,3.1,109420059582.92,119551599076.822,141677814569.536,27653.1644010105,29474.5414315342,34243.9529098591,..,..,..
Kyrgyz Republic,Europe & Central Asia,19.2,19.2,19.2,6813092065.83507,7702934800.12836,8092836608.78875,1120.66651300848,1242.76964282023,1281.36366078545,6.58615016937256,7.20772981643677,..
Lao PDR,East Asia & Pacific,27.5,27.5,27.5,15805707154.2329,16853087485.4118,18130724396.3364,2308.80261610221,2423.8462031921,2567.54321653103,..,..,..
Late-demographic dividend,,19.9113519790961,20.6260501778333,21.1012378594553,18420068944177.9,20357700189949,22163680628575.5,8142.69421072263,8943.25320963468,9684.10462115806,..,..,..
Latin America & Caribbean,,28.7077086781745,29.2849859022556,30.6818605735603,5387475015449.07,5970989904971.94,5787292630122.98,8561.87535815475,9397.62070912358,9023.50482339477,4.52063989639282,..,..
Latin America & Caribbean (excluding high income),,30.0057692307692,30.5442961800105,31.9350523560209,4857776801085.38,5405037342852.1,5193396903833.44,8131.54100916324,8959.80202540338,8527.55021502256,4.52037000656128,..,..
Latin America & Caribbean (IDA & IBRD),,25.4932375316991,26.2125594405594,27.1948271092669,5154283302707.55,5732278498069.47,5555732855564.57,8404.75274205975,9253.66648399388,8881.07710477437,4.52063989639282,..,..
Latvia,Europe & Central Asia,18,16,16,27695474684.447,30463302413.7289,34849078085.6672,14133.6829488022,15684.558518649,18088.9272518674,..,..,..
Least developed countries: UN classification,,22.7911103503366,23.1773389008013,22.939969640355,960073446690.598,1077755716481.29,1052226807868.15,996.431978125181,1092.65396589394,1042.15688567211,3.31524991989136,..,..
Lebanon,Middle East & North Africa,3.1,3.1,4.7,51239050082.9187,53393799668.325,56639155555.5556,7634.94654364282,7838.34338489943,8269.78767551923,..,..,..
Lesotho,Sub-Saharan Africa,25,22.9,22.1,2323419617.12079,2578265355.71255,2791762880.25884,1119.71975778363,1232.78691893924,1324.282767995,..,..,6.36087989807129
Liberia,Sub-Saharan Africa,11,12.3,12.3,3277826000,3285455000,3249000000,714.623392230031,698.70176435511,674.209484710137,4.00885009765625,3.82627010345459,..
Libya,Middle East & North Africa,16,16,16,26221660067.6697,38115981878.5647,48319620013.078,4038.9706833761,5792.06510994303,7235.02811502498,..,..,..
Liechtenstein,Europe & Central Asia,20,12,12,6214633651.30911,..,..,165028.245029187,..,..,..,..,..
Lithuania,Europe & Central Asia,21.3,21.3,21.3,42973365745.2891,47544459558.9514,53251369047.3762,14982.5330474739,16809.6482569674,19089.7075056564,..,..,..
Low & middle income,,21.8498653500898,22.316447661852,22.5991190796974,27266081638284.5,29912421055585,31713927460930.4,4378.15729093091,4743.06386199689,4967.75298688839,..,..,..
Low income,,21.9728186968839,22.472894183602,22.3446381482567,493881247719.937,526941900134.806,572219390199.091,737.007061489546,766.517216376315,811.178536682247,3.53978991508484,..,..
Lower middle income,,20.0489106409852,20.4576874738165,20.2145593468704,6023987416728.54,6521854050234.47,6707523521117.75,2049.09322458204,2187.49882855239,2218.89974912334,..,..,..
Luxembourg,Europe & Central Asia,28.3,28.3,28.3,58961235412.2227,62316359824.1281,69487922619.3401,101305.527723083,104498.738671031,114340.498741773,..,..,..
"Macao SAR, China",East Asia & Pacific,..,..,..,45322259884.1791,50559431846.4989,54545184267.5751,73954.9567652342,81208.882074735,86355.407651836,3.08310008049011,..,..
Madagascar,Sub-Saharan Africa,20.5,19.2,19.2,9958655044.98547,11465850504.0067,12100459087.2532,400.036275054268,448.400796541908,460.752780832755,..,..,..
Malawi,Sub-Saharan Africa,16.7,16.7,16.7,5433040159.88747,6303292264.18905,7064971176.34408,315.777326372575,356.717573153369,389.398033178836,4.74856996536255,4.03133010864258,..
Malaysia,East Asia & Pacific,10.4,10.4,13.9,296753497922.573,314707268049.991,354348422831.193,9671.02471707407,10117.569032569,11238.9573725301,4.82753992080688,4.74386978149414,..
Maldives,South Asia,5.9,5.9,5.9,4414055724.73387,4865546025.86599,5272288442.84566,9282.72355273961,9801.62454193575,10223.6364890278,4.25198984146118,..,..
Mali,Sub-Saharan Africa,8.8,8.8,8.8,14010787737.8424,15339614406.6617,17196688919.9878,779.874933008414,828.613220238384,901.403100689224,3.09070992469788,..,..
Malta,Middle East & North Africa,12.9,11.9,11.9,11442612408.8179,12748803180.3035,14542039605.2294,25128.9373782665,27241.0906440045,30074.7411850959,..,..,..
Marshall Islands,East Asia & Pacific,9.1,9.1,9.1,194497900,204173400,211523642.4,3368.80401835975,3516.7143201626,3621.17409480766,..,..,..
Mauritania,Sub-Saharan Africa,25.2,25.2,20.3,4727937032.27564,4975432190.51025,5365868725.27374,1135.55864615868,1161.78545671604,1218.59640995207,2.63106989860535,..,..
Mauritius,Sub-Saharan Africa,11.6,11.6,11.6,12232463655.5727,13259351418.4459,14220348672.7333,9681.61856689674,10484.9083620411,11238.6903948961,5.01359987258911,5.02312994003296,..
Mexico,Latin America & Caribbean,42.4,42.6,48.2,1077827944342.35,1158071006809.62,1223808885585.61,8739.14247139677,9281.10148290743,9698.0841865066,..,..,..
"Micronesia, Fed. Sts.",East Asia & Pacific,0,0,0,329895600,336427500,344501760,2993.20056253686,3018.39689930827,3058.43181818182,..,..,..
Middle East & North Africa,,17.0153100280684,16.2271013754457,16.6301296720061,3149687655679.88,3275008659269.25,3616868653980.99,7264.07956781543,7422.02790339989,8056.95043362745,..,..,..
Middle East & North Africa (excluding high income),,17.5585873830365,16.5819741197713,16.9671480144404,1453306730365.21,1437537340501.73,..,3924.92335710536,3817.68617419562,..,..,..,..
Middle East & North Africa (IDA & IBRD),,17.5585873830365,16.5819741197713,16.9671480144404,1439713130591.26,1422817551938.79,..,3934.6167024567,3823.83320020438,..,..,..,..
Middle income,,21.8102355734113,22.2657368707977,22.6776456760544,26772108788027,29382511794670.9,31140959360365.4,4817.17609489435,5229.03176445357,5483.97202284359,..,..,..
Moldova,Europe & Central Asia,21.8,22.8,22.8,8071480540.86068,9669759987.02633,11309082555.1568,2272.40570707297,2724.49309280928,3189.35581212262,6.66130018234253,6.68377017974854,..
Monaco,Europe & Central Asia,20.8,20.8,33.3,6468252212.38938,6400946585.53076,..,169904.18209586,166726.051925682,..,1.37101995944977,..,..
Mongolia,East Asia & Pacific,17.1,17.1,17.1,11186734674.3847,11433635875.9316,13009574620.6012,3660.15074616061,3671.94841892492,4103.69749259392,5.18211984634399,4.06642007827759,..
Montenegro,Europe & Central Asia,23.5,23.5,23.5,4374128318.58407,4844592066.71174,5452173040.60434,7028.93657685094,7784.06528996557,8760.69228579702,..,..,..
Morocco,Middle East & North Africa,20.5,20.5,20.5,103345296966.607,109708728848.535,118495328198.08,2897.66343955565,3036.17106160684,3237.88336815666,..,..,..
Mozambique,Sub-Saharan Africa,39.6,39.6,39.6,10896894351.3881,12651912500.4128,14457964380.8548,391.552894770249,441.61783689092,490.167582289902,..,..,..
Myanmar,East Asia & Pacific,9.9,10.2,10.2,63256184700.2223,66719084835.9898,71214803377.8188,1192.49533785043,1249.82875661238,1325.95292370622,..,2.16569995880127,..
Namibia,Sub-Saharan Africa,41.3,41.3,46.2,11286139080.0065,13566192142.5835,14521711630.1744,4786.23530295128,5646.45600733184,5931.45388457263,..,..,..
Nauru,East Asia & Pacific,5.3,10.5,10.5,102055047.945899,113880715.219337,114718022.803078,7820.9094908345,8844.41714968444,9030.07106447406,..,..,..
Nepal,South Asia,29.6,29.6,32.7,21185922407.5922,24880266905.4961,28812491891.5812,777.147595512165,900.57390358461,1025.79835586617,4.44098997116089,5.09562015533447,..
Netherlands,Europe & Central Asia,37.3,36,36,783528181704.567,830572618849.829,912872334082.473,46007.8529206547,48482.766210439,52978.4361586128,..,..,..
New Caledonia,East Asia & Pacific,..,..,..,..,..,..,..,..,..,..,..,..
New Zealand,East Asia & Pacific,31.4,34.2,38.3,187854022728.459,202590814084.991,205024937871.546,40026.8521964671,42260.1251767853,41966.0091846374,6.30374002456665,..,..
Nicaragua,Latin America & Caribbean,41.3,45.7,45.7,13286093197.4791,13843586679.5401,13117859221.6626,2107.57423769183,2168.19123997963,2028.89689057351,4.11263990402222,4.34879016876221,..
Niger,Sub-Saharan Africa,14.6,17,17,7528285443.60769,8119710126.32655,9239513529.65905,362.131132274334,375.869489673522,411.688942542622,4.04160022735596,3.54273009300232,..
Nigeria,Sub-Saharan Africa,5.6,5.6,5.6,404649527537.753,375745486520.656,397269616080.908,2175.99967021858,1968.55958830544,2028.18197017598,..,..,..
North America,,22.2971428571429,22.409765625,22.8598692810458,20239948343915.9,21138584471481.7,22210071092088.7,56340.176507086,58434.030875745,60968.0621546807,..,..,..
North Macedonia,Europe & Central Asia,33.3,34.2,38.3,10672471860.7184,11279509013.9119,12672131053.1578,5129.15896023703,5417.64201944282,6083.71894832148,..,..,..
